honorario_id,cliente_id,numero_processo,valor_total_contratado,n_parcelas,parcelas_pagas,valor_pago,valor_em_aberto,data_contrato,data_vencimento,forma_pagamento,honorario_exito,percentual_exito,status_pagamento
1,62,4384627-80.2021.2.13.1061,34265.26,8,6,25698.96,8321.13,2023-06-16,2024-11-23,Boleto,Não,15,Quitado
2,320,5901155-82.2023.2.89.7717,52872.23,6,1,881204.01,44417.93,2025-02-11,2026-06-11,Boleto,Sim,25,Atrasado
3,526,3464073-25.2022.8.73.5075,41050.15,7,2,11728.62,29321.55,2023-10-21,2025-03-13,Boleto,Sim,30,Atrasado
4,804,5753123-52.2021.4.48.4042,44733.76,2,1,22366.88,22366.88,2025-12-01,2024-03-13,Boleto,Não informado,15,Em Dia
5,954,1633270-27.2024.2.52.7034,46989.5,9,9,46989.54,0.0,2023-03-20,2026-11-30,Transferência,Não informado,0,Em Dia
6,1150,6414076-16.2021.7.78.8273,37564.25,5,4,30051.4,7512.85,2024-07-12,2024-10-10,Transferência,Sim,26,Em Dia
7,426,5217157-98.2020.2.64.4094,63113.58,1,1,63113.58,0.0,2026-04-21,2026-06-15,Boleto,Não,28,Atrasado
8,1238,1931030-34.2024.8.48.5319,3725.65,4,3,2794.23,931.4200000000001,2026-01-21,2025-04-29,Boleto,Não,30,Quitado
9,831,6445422-21.2020.5.39.8096,70048.33,2,1,35024.17,35024.17,2020-05-16,2027-02-06,Boleto,Sim,2000,Atrasado
10,268,9076234-78.2023.3.90.2702,35116.04,2,2,35116.04,0.0,2021-08-08,2025-05-17,Transferência,Não,0,Quitado
11,1482,3766710-17.2025.4.91.1472,55800.61,4,3,41850.45,13950.15,2022-03-06,2025-11-05,Transferência,Não,13,Atrasado
12,471,3306375-34.2024.9.48.9154,65950.16,2,1,32975.08,32975.08,2025-11-13,2026-01-26,PIX,Não,0,Não informado
13,362,8097721-13.2023.1.47.8354,70557.74,1,1,70557.74,0.0,2024-01-10,2026-09-30,Boleto,Sim,15,Quitado
14,1175,1667591-67.2025.4.69.9424,16034.65,4,4,16034.64,429.49,2022-03-08,2026-01-21,Boleto,Não informado,15,Em Dia
15,1373,7951127-89.2024.1.63.3502,45812.0,11,10,41647.3,4164.73,2024-08-03,2024-01-07,Boleto,Sim,2000,Em Dia
16,1310,5967836-10.2021.4.35.9671,42751.54,5,2,17100.62,25650.93,2021-12-20,2026-10-08,Transferência,Não,20,Em Dia
17,364,5991409-16.2021.8.44.1303,26515.77,11,1,2410.52,24105.2,2022-04-30,2024-09-26,Boleto,Sim,28,Quitado
18,587,6528202-89.2025.3.17.9496,37821.13,9,4,16809.4,21011.75,2020-06-16,2024-02-03,PIX,Não informado,19,Não informado
19,19,1833330-93.2025.8.61.3405,72963.42,12,6,36481.68,36481.68,2021-06-20,2024-07-07,PIX,Sim,15,Em Dia
20,815,1628717-84.2025.8.67.8313,24950.11,3,3,249501000000000.0,375.47,2024-02-27,2026-02-26,Transferência,Não,15,Atrasado
21,21,5518767-82.2023.4.96.9873,35358.68,3,2,23572.46,11786.23,2023-09-15,2026-11-25,PIX,Não,2000,Quitado
22,1443,7789809-22.2020.1.73.9031,38670.89,8,2,9667.72,29003.16,2026-12-03,2026-04-25,Transferência,Não,2000,Atrasado
23,990,5953905-94.2022.5.44.3245,24871.81,8,5,15544.9,8934.86,2020-05-12,2024-07-13,Boleto,Não,12,Em Dia
24,404,7065068-16.2021.7.14.6489,78758.44,7,7,78758.47,0.0,2020-10-25,2025-04-14,PIX,Não,2000,Atrasado
25,38,5660649-86.2020.5.86.9291,14137.32,7,2,4039.24,10098.1,2024-06-16,2025-11-13,Transferência,Sim,21,Em Dia
26,1147,1964519-55.2020.7.58.6781,3490.59,11,2,6346.52,28559.34,2020-08-26,2024-11-25,Boleto,Não informado,0,Quitado
27,219,5074974-98.2023.8.21.9881,49687.08,5,3,29812.26,19874.84,2025-06-02,2025-03-10,Boleto,Sim,0,Em Dia
28,1403,8129073-22.2024.4.16.9656,3211.2,11,1,291.93,291.93,2022-02-05,2025-02-23,PIX,Sim,15,Quitado
29,184,2966787-79.2022.1.41.9944,46901.53,6,4,31267.68,15633.84,2022-05-07,2024-10-02,Boleto,Sim,0,Quitado
30,719,7486029-45.2024.4.25.3159,8938.4,1,0,0.0,9434.64,2023-10-02,2027-02-06,PIX,Não,0,Em Dia
31,231,4229107-99.2020.7.61.3978,29421.54,5,5,29421.55,0.0,2025-06-27,2026-12-14,PIX,Não,2000,Em Dia
32,1254,2837371-36.2022.7.88.5428,44742.99,3,1,14914.33,29828.66,2025-09-06,2026-09-12,PIX,Não,2000,Quitado
33,1486,5514997-95.2024.1.84.8098,36143.03,8,1,4517.88,31625.16,2025-04-13,2024-08-05,PIX,Não informado,2000,Quitado
34,1123,9885734-21.2023.9.74.3450,28174.06,6,4,18782.72,9391.36,2026-04-29,2024-07-04,Boleto,Sim,26,Atrasado
35,786,4299848-20.2023.2.47.7396,35421.07,3,0,0.0,35421.06,2022-04-10,2024-07-24,Boleto,Sim,2000,Quitado
36,1171,1887163-62.2025.9.93.1037,74409.59,5,0,0.0,74409.6,2024-07-09,2026-07-17,PIX,Sim,16,Em Dia
37,1232,2461262-96.2021.6.48.1315,41026.12,3,3,41026.11,430.14,2022-10-18,2025-04-28,Boleto,Sim,15,Quitado
38,870,7789809-22.2020.1.73.9031,14970.54,1,0,0.0,14970.54,2026-03-18,2026-01-21,PIX,Não,13,Quitado
39,1244,2909764-51.2025.7.78.2223,29367.76,10,8,23494.24,5873.56,2022-06-24,2024-10-01,PIX,Sim,2000,Em Dia
40,131,5116418-16.2025.3.98.2234,32957.35,6,0,0.0,32957.34,2022-05-01,2025-12-16,Transferência,Não,15,Em Dia
41,6,6686912-30.2025.4.68.7078,63368.28,12,10,52806.9,10561.38,2022-10-29,2027-02-02,Boleto,Não informado,19,Atrasado
42,456,4384627-80.2021.2.13.1061,40873.23,2,1,20436.62,20436.62,2024-08-16,2026-11-02,Transferência,Não,15,Atrasado
43,1029,6445422-21.2020.5.39.8096,75324.69,1,0,0.0,75324.69,2022-06-25,2024-04-27,Transferência,Sim,2000,Atrasado
