movimentacao_id,numero_processo,data_movimentacao,tipo_ato,advogado_responsavel,descricao,prazo_gerado,concluido
1,2966787-79.2022.1.41.9944,14/08/25,despacho,Dra Fontes,diligência externa necessária,,0
2,8209168-30.2020.1.41.7632,23 de janeiro de 2021,agravo regimental,Dra. Fontes,audiência marcada para 09/09/2026,,sim
3,6370110-64.2022.3.52.8440,24/03/21,sentença,DRA. CAVALCANTE,prazo para recurso: 5 dias úteis a contar da intimação,,N
4,6982910-41.2023.8.91.8758,17/09/2023,intimação,Dr. Barros,juntada de documentos realizada,,sim
5,7848147-32.2021.6.58.3528,05/12/23,acordo extrajudicial,Dr. Barros,,,S
6,6096719-87.2023.1.41.6180,13 de setembro de 2022,sentença,Dr. Barros,prazo para recurso: 22 dias úteis a contar da intimação,,não
7,5545511-73.2023.1.66.9757,28 de outubro de 2019,despacho,Dra Fontes,prazo para recurso: 16 dias úteis a contar da intimação,26 de outubro de 2026,
8,4229107-99.2020.7.61.3978,2021-08-06,embargos de declaração,Dr. Barros,diligência externa necessária,,S
9,4893809-11.2021.7.19.9759,1 de julho de 2023,acordo extrajudicial,dr. melo,,,sim
10,6416661-36.2021.8.21.8496,2022-11-12,memoriais,Dra. Fontes,prazo para recurso: 11 dias úteis a contar da intimação,07/10/26,
11,2869625-86.2025.7.14.5837,2021-08-08,despacho,dr. melo,aguardando manifestação da parte contrária,8 de janeiro de 2026,1
12,2294596-63.2020.6.38.9193,2024-02-10,intimação,Dr. Barros,,,
13,5514997-95.2024.1.84.8098,18/02/26,embargos de declaração,Dra. Cavalcante,aguardando manifestação da parte contrária,,1
14,7515318-25.2024.4.34.6280,8 de dezembro de 2025,memoriais,Dra. Cavalcante,Prazo fatal: 15 de março de 2026,27 de novembro de 2026,N
15,1273300-90.2024.2.80.7378,09/04/26,sentença,Dr. Melo,aguardando manifestação da parte contrária,,não
16,3401866-56.2021.1.87.5297,2025-04-20,habilitação,Dr. Barros,documentos pendentes de entrega pelo cliente,,não
17,7398699-88.2025.6.55.3587,27/07/2025,habilitação,Dr. Melo,juntada de documentos realizada,,N
18,6992158-64.2024.5.43.7750,4 de outubro de 2023,despacho,Dra. Cavalcante,aguardando manifestação da parte contrária,7 de fevereiro de 2026,1
19,8539686-69.2023.4.36.2235,8 de março de 2022,despacho,Dra. Fontes,documentos pendentes de entrega pelo cliente,10/05/26,1
20,9970343-38.2020.5.18.4483,29/04/2026,réplica,dr. melo,juntada de documentos realizada,,S
21,7398699-88.2025.6.55.3587,02/03/23,audiência de instrução,Dra. Cavalcante,Prazo fatal: 20 de novembro de 2026,,sim
22,4433355-55.2023.8.48.9346,06/08/21,agravo regimental,Dr. Barros,prazo para recurso: 28 dias úteis a contar da intimação,,0
23,7765112-69.2024.9.62.5648,3 de junho de 2024,intimação,Dr. Melo,documentos pendentes de entrega pelo cliente,31 de agosto de 2026,não
24,4134515-43.2021.8.70.4879,2020-12-01,réplica,Dr. Barros,aguardando manifestação da parte contrária,,
25,2112478-55.2024.2.51.9095,10/06/2021,petição inicial,Dra. Cavalcante,juntada de documentos realizada,,sim
26,4893809-11.2021.7.19.9759,09/09/2024,despacho,dr. melo,juntada de documentos realizada,,0
