honorario_id,cliente_id,numero_processo,valor_total_contratado,n_parcelas,parcelas_pagas,valor_pago,valor_em_aberto,data_contrato,data_vencimento,forma_pagamento,honorario_exito,percentual_exito,status_pagamento
1,62,4384627-80.2021.2.13.1061,"34265,26",8,6,25698.96,8321.13,2023-06-16,23 de novembro de 2024,boleto,N,15%,quitado
2,320,5901155-82.2023.2.89.7717,52872.23,6,1,8812.04,"R$ 44.417,93",11 de fevereiro de 2025,06/11/2026,boleto,S,0.25,ATRASADO
3,526,3464073-25.2022.8.73.5075,41050.15,7,2,11728.62,"29321,55",21 de outubro de 2023,13/03/2025,Boleto,Sim,30%,ATRASADO
4,804,5753123-52.2021.4.48.4042,44733.76,2,1,22366.88,22366.88,12/01/25,13 de março de 2024,Boleto,,15%,em dia
5,954,1633270-27.2024.2.52.7034,46989.50,9,9,46989.54,0.00,20/03/23,30/11/2026,TED,,,Em Dia
6,1150,6414076-16.2021.7.78.8273,37564.25,5,4,"R$ 30.051,40",7512.85,07/12/2024,10/10/2024,transferência,sim,26%,Em Dia
7,426,5217157-98.2020.2.64.4094,63113.58,1,1,63113.58,0.00,21/04/26,15 de junho de 2026,boleto,N,0.29,atrasado
8,1238,1931030-34.2024.8.48.5319,3725.65,4,3,2794.23,,21/01/2026,2025-04-29,Boleto,N,0.30,quitado
9,831,6445422-21.2020.5.39.8096,"70048,33",2,1,"35024,17",35024.17,16 de maio de 2020,6 de fevereiro de 2027,boleto,Sim,20,atrasado
10,268,9076234-78.2023.3.90.2702,35116.04,2,2,35116.04,0.00,8 de agosto de 2021,17/05/2025,TED,N,,quitado
11,1482,3766710-17.2025.4.91.1472,55800.61,4,3,41850.45,13950.15,03/06/22,11/05/2025,transferência,nao,0.13,ATRASADO
12,471,3306375-34.2024.9.48.9154,65950.16,2,1,"32975,08",32975.08,2025-11-13,26/01/26,PIX,não,,
13,362,8097721-13.2023.1.47.8354,70557.74,1,1,70557.74,"R$ 0,00",10 de janeiro de 2024,30/09/26,boleto,Sim,15%,quitado
14,1175,1667591-67.2025.4.69.9424,16034.65,4,4,16034.64,429.49,8 de março de 2022,21 de janeiro de 2026,boleto,,15%,Em Dia
15,1373,7951127-89.2024.1.63.3502,45812.00,11,10,41647.30,4164.73,2024-03-08,7 de janeiro de 2024,boleto,sim,20,Em Dia
16,1310,5967836-10.2021.4.35.9671,42751.54,5,2,"17100,62",25650.93,2021-12-20,8 de outubro de 2026,transferência,nao,20%,Em Dia
17,364,5991409-16.2021.8.44.1303,26515.77,11,1,"2410,52",24105.20,2022-04-30,26/09/24,Boleto,sim,28%,quitado
18,587,6528202-89.2025.3.17.9496,"R$ 37.821,13",9,4,16809.40,21011.75,16/06/20,02/03/2024,PIX,,19%,
19,19,1833330-93.2025.8.61.3405,72963.42,12,6,36481.68,36481.68,20 de junho de 2021,07/07/24,PIX,sim,15%,Em Dia
20,815,1628717-84.2025.8.67.8313,24950.11,3,3,"24950,100000000002",375.47,27/02/24,2026-02-26,transferência,não,15%,ATRASADO
21,21,5518767-82.2023.4.96.9873,"R$ 35.358,68",3,2,23572.46,11786.23,15 de setembro de 2023,25 de novembro de 2026,PIX,não,20,quitado
22,1443,7789809-22.2020.1.73.9031,38670.89,8,2,9667.72,"29003,16",12/03/26,25/04/2026,transferência,nao,20,atrasado
23,990,5953905-94.2022.5.44.3245,24871.81,8,5,"R$ 15.544,90","8934,86",12 de maio de 2020,13/07/2024,Boleto,não,12%,em dia
24,404,7065068-16.2021.7.14.6489,78758.44,7,7,78758.47,0,25 de outubro de 2020,14 de abril de 2025,pix,não,20,atrasado
25,38,5660649-86.2020.5.86.9291,"R$ 14.137,32",7,2,4039.24,10098.10,16/06/2024,13 de novembro de 2025,TED,sim,21%,Em Dia
26,1147,1964519-55.2020.7.58.6781,"34905,9",11,2,6346.52,28559.34,2020-08-26,25/11/24,boleto,,,quitado
27,219,5074974-98.2023.8.21.9881,49687.08,5,3,29812.26,19874.84,2025-02-06,03/10/25,Boleto,sim,,Em Dia
28,1403,8129073-22.2024.4.16.9656,3211.20,11,1,"R$ 291,93","2919,3",02/05/2022,23/02/25,PIX,Sim,15%,quitado
29,184,2966787-79.2022.1.41.9944,"R$ 46.901,53",6,4,31267.68,15633.84,7 de maio de 2022,10/02/2024,boleto,Sim,,quitado
